horizon_h,train_rmse,train_mae,val_rmse,val_mae,baseline_rmse,baseline_mae
1,0.6023205079358784,0.41926552991105126,0.649707396131514,0.5041944735236067,0.9109453488390117,0.7041666666666666
3,1.3817520464623616,1.0682311103906246,1.5692203370666349,1.2820337687775198,2.3881901894431232,1.8357142857142856
6,2.2440855573145853,1.765597480449234,2.837441837557835,2.2902311013772665,4.255640514714112,3.2666666666666666
12,3.152300797324682,2.5427647892329697,4.929215083858335,3.943194994945619,6.974042006237266,5.710714285714286
24,4.444190472327522,3.6458619251359936,7.963822744653302,6.369080435790546,9.354006653631933,8.369642857142857
48,5.394091684090191,4.381589349211113,9.096858633074566,7.376643035623222,11.754198844506181,10.270238095238094
