parameter,value
intercept,-157.05416069487
T,0.5323264746282728
W,0.05825486441358423
Wd,-0.006081060358360755
RH,0.03056484337000307
P,1.0079258075272466
Prec,0.1347286439486255
Cloud,-0.0029967085176922804
sin_day,-1.2172294025086723
cos_day,0.28811865824675204
sin_year,-36.10193443315494
cos_year,-62.79015448089488
T_lag1,-0.14298856570730872
T_lag2,-0.03096590282803243
T_lag3,-0.017166908977370863
T_lag6,-0.15651628048752164
T_lag12,0.02823480798057247
T_lag24,0.20151719664928885
W_lag1,-0.004525045537051653
W_lag3,0.03957749402387433
W_lag6,0.04762621492879536
W_lag12,-0.04219355966548281
W_lag24,-0.0545524305666834
RH_lag1,0.013351553382219989
P_lag1,-0.7901952045054473
Cloud_lag1,1.785949891897759e-05
Prec_lag1,-0.1268047523540944
