parameter,value
intercept,-165.649500369755
T,1.3429934897205722
W,-0.1483658354874232
Wd,-0.009351201227454848
RH,0.2361761248606742
P,-0.3741869458316214
Prec,-1.2334012377348698
Cloud,0.004672277642884391
sin_day,-0.05572086312083879
cos_day,0.6010950898492753
sin_year,-23.06522303736086
cos_year,-39.25468344226914
T_lag1,-0.5551217115908138
T_lag2,-0.08128327196535304
T_lag3,0.0736893373591861
T_lag6,-0.1321262260346375
T_lag12,-0.1258870108573462
T_lag24,0.11437102495795892
W_lag1,0.05701752418869449
W_lag3,0.00444065423414391
W_lag6,0.09462987965872659
W_lag12,0.07512021275447733
W_lag24,0.06003675997513974
RH_lag1,-0.17273921982938908
P_lag1,0.5752122469601559
Cloud_lag1,-0.012063678031460592
Prec_lag1,-1.4142922359721044
