parameter,value
intercept,-26.738357549637666
T,1.689098985594303
W,-0.0474698515858334
Wd,-0.0004884548329996369
RH,0.11266567380941495
P,-0.422034835582221
Prec,0.126676140011962
Cloud,0.004822512678135186
sin_day,0.41247972084357537
cos_day,-1.0102507911116612
sin_year,-2.1776794340120045
cos_year,-4.827909064848022
T_lag1,-0.6278811479695394
T_lag2,-0.28640106858799824
T_lag3,0.10596402161338123
T_lag6,0.06056078980071512
T_lag12,-0.024324132332366983
T_lag24,-0.003315138615102471
W_lag1,0.045994888718979846
W_lag3,0.01407846317662695
W_lag6,0.000760675401943323
W_lag12,-0.002070509274028444
W_lag24,0.010068377926170068
RH_lag1,-0.03963070652082567
P_lag1,0.4469950636813541
Cloud_lag1,-0.0037057213167053984
Prec_lag1,-0.2530745122866297
