parameter,value
intercept,-55.82249573391164
T,1.5866550662256913
W,-0.10083694668318224
Wd,-0.0021838058947134366
RH,0.18442397596665736
P,-0.7071467958860493
Prec,0.09527829843838533
Cloud,0.0070631907650646145
sin_day,1.5412390093059334
cos_day,-1.537258639398336
sin_year,-5.4627949517006105
cos_year,-11.205208187771824
T_lag1,-0.7103996821345653
T_lag2,-0.25955847370055984
T_lag3,0.1728813270394182
T_lag6,0.08936726299241204
T_lag12,-0.05281951346830159
T_lag24,-0.00551288383627245
W_lag1,0.10203709921307832
W_lag3,0.014028880704217952
W_lag6,-0.008627299886154974
W_lag12,0.013665686785663867
W_lag24,0.03561665942861642
RH_lag1,-0.05234406950816372
P_lag1,0.7623342705002307
Cloud_lag1,-0.004612669302842603
Prec_lag1,-0.6086073683687334
