parameter,value
intercept,-100.97684888823818
T,1.2412000644550933
W,-0.12307236479625516
Wd,-0.006131951191287641
RH,0.24445257248156596
P,-1.2946272517066586
Prec,-0.6230292159645296
Cloud,0.007591287138805053
sin_day,3.063300121489546
cos_day,0.7265052666879597
sin_year,-12.504866261974128
cos_year,-23.001132597860636
T_lag1,-0.47029598042061926
T_lag2,-0.1324947261052309
T_lag3,0.1267088415510796
T_lag6,-0.037614671648231124
T_lag12,-0.043597558068895884
T_lag24,0.02774995906192206
W_lag1,0.1069829530555086
W_lag3,-0.012539510401505163
W_lag6,0.028372973958160963
W_lag12,0.05584265193183073
W_lag24,0.048991614072253824
RH_lag1,-0.07052113184469228
P_lag1,1.4042762327209177
Cloud_lag1,-0.009437908287869811
Prec_lag1,-1.4772882516618242
