,Scenario,RMSE (train),MAE (train),RMSE (baseline),MAE (baseline),RMSE (control),MAE (control),RMSE change [%],MAE change [%],Maximum error (control)
0,1,0.6289937206843557,0.4316175765375055,1.20272133784654,0.9276559872474774,0.605296320317496,0.4443675919872162,-3.767509847487264,2.954007469295635,2.47033304852312
1,3,1.408418135201264,1.076540592935885,2.782232094406102,2.219855960991612,1.5530601017828598,1.1877142781214793,10.269817106617024,10.32693852095323,6.849401825373622
2,6,2.2535692545476866,1.7310126300720388,4.124189404139916,3.303539673769739,2.6697536830952373,2.0369354980727437,18.467789605653053,17.673058109805556,9.732225875392785
3,12,3.396100538575162,2.720936103924871,5.148254129841934,4.268025302211907,3.917724110460299,3.1241003538934735,15.359485561755035,14.81711567526521,13.044564865241162
4,24,4.921451245100564,3.9025065006743946,6.898492070310094,5.606172778402703,5.46682635201254,4.417022313120169,11.081591176076602,13.184239727899511,15.350025294851779
5,48,6.351318538591453,5.034134943730617,7.482351737493011,6.253263039118255,6.641656934999631,5.4509824828326146,4.571309006847051,8.28042044484979,17.91644090118653
